id,name,parent_id,image,resource_id
125,Blind Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
126,Viper,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
127,Keelback,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
128,Thread Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
129, Bridle Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
130,Krait,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
131,Sand Racer,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
132,Tree Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
133,Cat Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
134,Blossom Krait,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
135,Trinket Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
136,Coral Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
137,Reed Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
138,Smooth Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
139,Worm-eating Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
140,Rear-fanged Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
141,Iridescent Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
142,Wolf Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
143,King Cobra,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
144,Large Viper,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
145,Cobra,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
146,Mock Viper,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
147,Black-headed Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
148,Worm Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
149,Constrictors,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
150,Dwarf Burrowing Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
151,Olive Keelback,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
152,Beaked Blind Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
153,Vine Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
154,Sheildtail,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
155,Water Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
156,Kukri Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
157,Gliding Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
